title,price,count,rating,brand,info_dict
AEMAPE棉服男冬季潮流仿羊羔绒棉袄宽松保暖棉衣外套男3663 绿色 S,89.00,500+,95%,品牌： AEMAPE,"{'商品名称': 'AEMAPE男士棉服', '商品编号': '100068404807', '商品毛重': '0.83kg', '商品产地': '中国福建', '货号': '3663', '材质': '涤纶(聚酯纤维)100%', '适用人群': '青年，情侣', '衣门襟': '拉链', '领型': '立领', '衣长': '常规款', '上市时间': '2023年冬季', '厚度': '常规', '穿着方式': '两面穿', '流行元素': '印花，车缝线', '填充物': '涤纶(聚酯纤维)', '风格': '百搭风', '版型': '宽松型', '图案': '动物，字母', '适用场景': '居家，旅行'}"
稻草人（MEXICAN）夹克男外套男秋冬季加绒男士休闲运动潮流工装冲衣服男 黑色4XL,89.00,5万+,94%,品牌： 稻草人（MEXICAN）,"{'商品名称': '稻草人夹克', '商品编号': '100009000345', '商品毛重': '500.00g', '商品产地': '中国福建', '货号': '9F126100375M', '材质': '涤纶(聚酯纤维)100%', '衣门襟': '拉链', '适用季节': '春季，秋季', '上市时间': '2023年秋季', '领型': '立领', '适用人群': '青年，青少年', '流行元素': '车缝线', '厚度': '常规', '版型': '标准型', '衣长': '常规款', '图案': '纯色，字母', '适用场景': '旅行', '风格': '休闲风', '休闲风': '简约风'}"
Lee Cooper 高品质 牛仔外套男春秋冬季夹克男生刺绣休闲加绒男士上衣服男装 9908深蓝 2XL,399.00,1000+,98%,品牌： Lee Cooper,"{'商品名称': 'Lee Cooper 高品质 牛仔外套男春秋冬季夹克男生刺绣休闲加绒男士上衣服男装 9908深蓝 2XL', '商品编号': '10027215102476', '店铺': 'Lee Cooper蓝朝专卖店', '商品毛重': '100.00g', '货号': '6852GFDF', '材质': '棉70%', '厚度': '常规', '衣门襟': '单排扣', '适用季节': '四季通用', '版型': '修身型', '上市时间': '2021年春季', '领型': '方领', '适用人群': '青年', '流行元素': '车缝线，多口袋', '面料': '牛仔布', '风格': '百搭风', '衣长': '常规款', '图案': '纯色', '适用场景': '职场，旅行'}"
GENIOLAMODE羊羔绒外套男重磅保暖立领夹克男生冬装上衣服 咖色 2XL,119.00,1000+,96%,品牌： GENIOLAMODE,"{'商品名称': 'GENIOLAMODE拼接立领羊羔绒外套', '商品编号': '100066862634', '商品毛重': '0.6kg', '商品产地': '中国大陆', '货号': 'PCPJYGRWT02', '材质': '涤纶(聚酯纤维)100%', '衣门襟': '拉链', '适用季节': '冬季', '衣长': '常规款', '领型': '立领', '流行元素': '拼接', '厚度': '加厚', '上市时间': '2023年秋季', '图案': '纯色', '版型': '宽松型', '风格': '休闲风', '休闲风': '简约风'}"
卡帝乐鳄鱼（CARTELO）外套男2023秋冬季韩版休闲夹克男士潮流宽松夹克衫冲锋男衣服装,148.00,1万+,95%,品牌： 卡帝乐鳄鱼（CARTELO）,"{'商品名称': '卡帝乐鳄鱼夹克', '商品编号': '100032950523', '商品毛重': '440.00g', '商品产地': '中国福建省', '货号': 'Q-SYLKDLNZ8302ZY', '材质': '涤纶(聚酯纤维)100%', '衣门襟': '拉链', '适用季节': '秋季，冬季', '厚度': '常规', '上市时间': '2023年秋季', '领型': '立领', '适用人群': '青年，中年', '流行元素': '简约，多口袋', '版型': '标准型', '风格': '百搭风', '衣长': '常规款', '图案': '纯色', '适用场景': '职场，旅行'}"
吉普（JEEP）夹克男秋冬季开衫立领外套男士保暖爸爸装抓绒衣男装 灰色 XL,218.00,2000+,97%,品牌： 吉普（JEEP）,"{'商品名称': '吉普夹克', '商品编号': '100063298158', '商品毛重': '500.00g', '商品产地': '中国福建省', '货号': 'Q-BWSJP920RZY', '材质': '涤纶(聚酯纤维)100%', '衣门襟': '拉链', '适用季节': '秋季，冬季', '衣长': '常规款', '领型': '立领', '适用人群': '青年，青少年', '流行元素': '车缝线', '厚度': '常规', '风格': '百搭风', '版型': '标准型', '图案': '纯色', '上市时间': '2023年冬季'}"
稻草人（MEXICAN）外套夹克男秋冬季连帽冲锋衣男士加绒加厚上衣男装 黑色加绒 XL,139.00,5000+,95%,品牌： 稻草人（MEXICAN）,"{'商品名称': '稻草人A426-2186', '商品编号': '100070032614', '商品毛重': '0.66kg', '商品产地': '中国大陆', '货号': 'SWKJK2186JR', '材质': '涤纶(聚酯纤维)76.4%，氨纶(聚氨酯弹性纤维)13.6%', '版型': '标准型', '衣长': '常规款', '领型': '连帽', '流行元素': '简约', '衣门襟': '拉链', '风格': '百搭风', '上市时间': '2023年秋季', '图案': '纯色', '厚度': '常规'}"
吉普（JEEP）夹克男外套秋冬季韩版男士上衣宽松连帽百搭男装 黑色 XL,188.00,2万+,94%,品牌： 吉普（JEEP）,"{'商品名称': '吉普夹克', '商品编号': '100032063613', '商品毛重': '0.68kg', '商品产地': '中国广东省广州市', '货号': 'Q-YHANJP2186ZY', '材质': '涤纶(聚酯纤维)100%', '衣门襟': '拉链', '适用季节': '秋季，冬季', '衣长': '常规款', '领型': '可脱卸帽', '适用人群': '青年', '流行元素': '车缝线', '厚度': '常规', '版型': '标准型', '上市时间': '2023年冬季', '风格': '日韩风', '日韩风': '韩版'}"
棉致品质男装冬季灯芯绒外套男士宽松加绒工装夹克时尚休闲保暖上衣服 卡其 2XL,116.00,500+,92%,品牌： 棉致,"{'商品名称': '棉致品质男装冬季灯芯绒外套男士宽松加绒工装夹克时尚休闲保暖上衣服 卡其 2XL', '商品编号': '10064002802623', '店铺': '棉致刚炮专卖店', '商品毛重': '500.00g', '货号': 'LMR-HC-2112', '材质': '涤纶(聚酯纤维)100%', '厚度': '加绒', '衣门襟': '拉链', '适用季节': '冬季', '面料': '灯芯绒', '衣长': '常规款', '领型': '翻领', '适用人群': '青年，中年', '流行元素': '简约，多口袋', '版型': '标准型', '风格': '百搭风', '上市时间': '2023年冬季', '图案': '纯色', '适用场景': '旅行，学校'}"
JEEP SPIRIT吉普冲锋衣夹克男春秋季外套加厚三合一户外运动服男装 卡其 2XL,299.00,2万+,99%,品牌： JEEP SPIRIT,"{'商品名称': 'JEEP SPIRITQ-ZHONGLI-1202-2', '商品编号': '100060795000', '商品毛重': '1.21kg', '商品产地': '中国大陆', '货号': 'Q-ZHONGLI-1202-2 -03', '材质': '涤纶(聚酯纤维)', '衣门襟': '拉链', '适用季节': '秋季，冬季', '功能': '防风', '领型': '连帽', '流行元素': '撞色', '适用运动': '户外运动', '适用性别': '通用', '上市时间': '2023年秋季', '版型': '常规型'}"
南极人（Nanjiren）棉服男秋冬季加绒加厚棉袄休闲立领爸爸服装外套男士保暖男装衣服,66.00,2000+,95%,品牌： 南极人（Nanjiren）,"{'商品名称': '南极人棉服', '商品编号': '100069311602', '商品毛重': '0.98kg', '商品产地': '中国大陆', '货号': '263-F788N-MF', '材质': '涤纶(聚酯纤维)99.9%', '衣门襟': '拉链', '穿着方式': '开衫', '衣长': '常规款', '领型': '立领', '适用人群': '青年，中年', '流行元素': '简约', '版型': '标准型', '上市时间': '2023年秋季', '厚度': '厚款', '图案': '纯色', '适用场景': '居家，旅行', '风格': '休闲风', '休闲风': 'oversize'}"
GENIOLAMODE夹克男士冬季保暖奥粒绒加厚立领开衫外套男装 黑色 XL,119.00,200+,87%,品牌： GENIOLAMODE,"{'商品名称': 'GENIOLAMODE双面奥粒绒立领外套', '商品编号': '100069518573', '商品毛重': '450.00g', '商品产地': '中国大陆', '货号': 'PCALRLLJK01', '材质': '涤纶(聚酯纤维)95%，氨纶(聚氨酯弹性纤维)5%', '衣门襟': '拉链', '适用季节': '秋季，冬季', '衣长': '常规款', '领型': '立领', '流行元素': '简约', '厚度': '加绒', '上市时间': '2023年冬季', '图案': '纯色', '版型': '宽松型', '风格': '休闲风', '休闲风': '简约风'}"
贵人鸟两面穿棉服男士棉袄冬季棉衣外套面包服男女情侣款 粉色 L,149.90,1万+,93%,品牌： 贵人鸟,"{'商品名称': '贵人鸟GB52M2218Y01A', '商品编号': '100064126074', '商品毛重': '250.00g', '商品产地': '中国大陆', '货号': 'GB52M2218Y01B51A03', '材质': '涤纶(聚酯纤维)100%', '版型': '宽松型', '穿着方式': '两面穿', '上市时间': '2023年冬季', '厚度': '常规', '适用人群': '青年，中年', '填充物': '涤纶(聚酯纤维)', '衣门襟': '拉链', '流行元素': '简约', '衣长': '常规款', '图案': '纯色，LOGO', '领型': '立领', '风格': '休闲风', '休闲风': 'oversize'}"
Jeep棉服男冬季外穿保暖棉衣男防寒棉袄男加厚防风外套男 3033,299.00,1000+,95%,品牌： Jeep,"{'商品名称': 'Jeep棉服', '商品编号': '100068232857', '商品毛重': '1.0kg', '商品产地': '中国大陆', '货号': 'J32MF33033', '领型': '立领', '材质': '涤纶(聚酯纤维)100%', '流行元素': 'LOGO', '上市时间': '2023年冬季', '适用季节': '冬季', '功能': '保暖', '衣长': '常规款'}"
JJ冲锋上衣男冬季防风夹克男连帽潮牌工装棉服男加绒保暖外套男 2086灰色加绒加厚 XL【105斤-125斤】,168.00,2000+,93%,品牌： JJ,"{'商品名称': 'JJ冲锋上衣男冬季防风夹克男连帽潮牌工装棉服男加绒保暖外套男 2086灰色加绒加厚 XL【105斤-125斤】', '商品编号': '10063309006270', '店铺': 'JJ丽风里专卖店', '商品毛重': '0.7kg', '商品产地': '中国大陆', '货号': '2086', '材质': '涤纶(聚酯纤维)100%', '穿着方式': '开衫', '衣门襟': '拉链', '版型': '宽松型', '衣长': '常规款', '上市时间': '2022年秋季', '领型': '可脱卸帽', '适用人群': '青年', '流行元素': '简约', '厚度': '加厚', '风格': '百搭风', '填充物': '涤纶(聚酯纤维)', '图案': '纯色', '适用场景': '居家，旅行'}"
JEEP SPIRIT吉普棉服男加厚外套面包服冬季夹克连帽防风保暖休闲百搭棉衣,199.00,2000+,99%,品牌： JEEP SPIRIT,"{'商品名称': 'JEEP SPIRITLG-A216-5023', '商品编号': '100068746506', '商品毛重': '1.0kg', '商品产地': '中国大陆', '货号': 'LG-musilin-5023 -11', '材质': '涤纶(聚酯纤维)100%', '适用季节': '冬季', '功能': '保暖', '领型': '连帽', '流行元素': '徽章', '适用运动': '运动休闲', '适用性别': '通用', '上市时间': '2023年秋季', '衣长': '常规款', '填充物': '聚酯纤维（涤纶）'}"
稻草人（MEXICAN）外套夹克男士秋冬季冲锋衣户外运动连帽登山上衣男 黑色 3XL,155.00,2000+,97%,品牌： 稻草人（MEXICAN）,"{'商品名称': '稻草人QQGL-2628', '商品编号': '100061696394', '商品毛重': '0.65kg', '商品产地': '中国大陆', '货号': 'QQGL-2628', '材质': '涤纶(聚酯纤维)100%', '衣门襟': '拉链', '适用季节': '秋季，冬季', '衣长': '常规款', '领型': '连帽', '适用人群': '青年，中年', '厚度': '常规', '风格': '运动风', '版型': '标准型', '图案': '纯色', '上市时间': '2023年秋季'}"
吉普（JEEP）外套男连帽秋冬季夹克男士休闲男装宽松百搭衣服 黑色 XL,86.00,2万+,97%,品牌： 吉普（JEEP）,"{'商品名称': '吉普夹克', '商品编号': '100012372139', '商品毛重': '500.00g', '商品产地': '中国广东省广州市', '货号': 'Q-GKJP1208ZY', '材质': '涤纶(聚酯纤维)100%', '版型': '宽松型', '适用季节': '秋季，冬季', '上市时间': '2023年冬季', '领型': '连帽', '适用人群': '青年', '流行元素': '车缝线，多口袋', '厚度': '常规', '衣长': '常规款', '图案': '纯色', '衣门襟': '拉链', '风格': '休闲风', '休闲风': '简约风'}"
南极人棉服男秋冬棉衣棉袄情侣冬装衣服青年加厚保暖外套冬季男白色 XL,79.00,1000+,93%,品牌： 南极人（Nanjiren）,"{'商品名称': '南极人4584622', '商品编号': '100063200379', '商品毛重': '0.66kg', '商品产地': '中国大陆', '货号': 'JD-NJRC23HE063', '材质': '涤纶(聚酯纤维)100%', '衣门襟': '拉链', '厚度': '厚款', '上市时间': '2023年冬季', '领型': '立领', '适用人群': '青年，情侣', '填充物': '涤纶(聚酯纤维)', '穿着方式': '开衫', '风格': '百搭风', '衣长': '常规款', '版型': '宽松型', '适用场景': '滑雪，露营'}"
吉普（JEEP）羽绒服男冬季短款休闲棒球领外套男士保暖潮牌衣服男装 黑色 XL,319.00,2000+,97%,品牌： 吉普（JEEP）,"{'商品名称': '吉普羽绒服', '商品编号': '100073638778', '商品毛重': '0.98kg', '商品产地': '中国福建省', '货号': 'Q-DYFFDJP2210XJ', '材质': '涤纶(聚酯纤维)100%', '领型': '棒球领', '版型': '标准型', '穿着方式': '开衫', '流行元素': '车缝线，简约', '上市时间': '2023年冬季', '厚度': '常规', '适用人群': '青年，中年', '填充物': '鸭绒', '衣长': '短款', '风格': '百搭风', '充绒量': '100g以下', '图案': '纯色', '适用场景': '学校，旅行'}"
伯希和（Pelliot）户外冲锋衣男女三合一硬壳外套防风防水春秋夹克服11340105黑XXL,629.00,2万+,99%,品牌： 伯希和（Pelliot）,"{'商品名称': '伯希和11340105', '商品编号': '100055582114', '商品毛重': '0.91kg', '商品产地': '中国大陆', '货号': '11340105', '工艺': '接缝全压胶', '面料': '棉涤', '功能': '防水，防风，保暖', '类别': '三合一冲锋衣', '里料材质': '涤纶(聚酯纤维)', '适用季节': '冬季，四季通用', '材质': '涤纶(聚酯纤维)100%', '上市时间': '2023年秋季'}"
I'M DAVID冲锋衣外套男春秋冬季工装户外加绒加厚夹克运动宽松 黑 2XL,158.00,2万+,93%,品牌： I'M DAVID,"{'商品名称': ""I'M DAVID夹克+ALG1992"", '商品编号': '100074894901', '商品毛重': '470.00g', '商品产地': '福建省泉州市', '货号': '1992', '材质': '涤纶(聚酯纤维)100%', '版型': '宽松型', '适用季节': '秋季，冬季', '上市时间': '2022年冬季', '厚度': '加绒', '适用人群': '青年，青少年', '流行元素': '印花，刺绣', '领型': '连帽', '衣长': '常规款', '衣门襟': '拉链', '图案': '字母', '适用场景': '旅行，学校', '风格': '日韩风', '日韩风': '韩版'}"
森马（Semir）外套女立领夹克简约ins潮2023冬季气质毛绒衣服休闲109723108005,149.00,2000+,97%,品牌： 森马（Semir）,"{'商品名称': '森马109723108005', '商品编号': '100063228284', '商品毛重': '0.75kg', '商品产地': '中国大陆', '货号': '109723108005', '材质': '涤纶(聚酯纤维)100%', '版型': '标准型', '上市时间': '2023年冬季', '领型': '立领', '衣门襟': '拉链', '袖型': '常规袖', '厚度': '常规', '风格': '百搭风', '类别': '夹克', '图案': '纯色', '袖长': '长袖'}"
俞兆林棉服女冬季加厚面包服棉袄宽松棉衣女外套女上衣 Y13KM1281,69.00,500+,97%,品牌： 俞兆林（YUZHAOLIN）,"{'商品名称': '俞兆林棉服', '商品编号': '100078656191', '商品毛重': '500.00g', '商品产地': '中国浙江', '货号': 'Y13KM1281', '材质': '涤纶(聚酯纤维)96%', '衣门襟': '拉链', '上市时间': '2023年冬季', '版型': '宽松型', '衣长': '常规款', '风格': '百搭风', '适用年龄': '18-24周岁，25-29周岁，30-34周岁', '领型': '立领', '穿着方式': '常规', '流行元素': '链条，口袋', '袖长': '长袖', '袖型': '常规袖', '填充物': '涤纶(聚酯纤维)', '图案': '纯色', '厚度': '厚款'}"
班尼路（Baleno）男士无帽卫衣男秋冬款长袖T恤男装秋季重磅情侣美式打底衫外套男,59.00,2000+,94%,品牌： 班尼路（Baleno）,"{'商品名称': '班尼路23PY19', '商品编号': '100073469816', '商品毛重': '320.00g', '商品产地': '中国大陆', '货号': 'BN_23PY19T000-03-1', '材质': '棉63%，涤纶(聚酯纤维)37%', '厚度': '常规', '版型': '修身型', '适用季节': '秋季，冬季', '穿着方式': '套头', '上市时间': '2023年秋季', '工艺': '无工艺', '适用人群': '青年，情侣', '流行元素': '简约', '袖型': '常规袖', '风格': '百搭风', '领型': '圆领', '图案': '纯色', '适用场景': '居家，旅行'}"
Halo Queen棉服女冬季短款立领宽松棉袄百搭小设计加厚棉衣外套 H13QM1846,89.00,1000+,96%,品牌： Halo Queen,"{'商品名称': 'Halo Queen棉服', '商品编号': '100076436620', '商品毛重': '400.00g', '商品产地': '中国大陆', '货号': 'H13QM1846', '材质': '其他99%', '版型': '宽松型', '衣门襟': '拉链', '适用年龄': '18-24周岁，25-29周岁，30-34周岁', '袖长': '长袖', '衣长': '短款', '领型': '立领', '穿着方式': '常规', '填充物': '其他', '袖型': '其他', '风格': '百搭风', '上市时间': '2023年冬季', '图案': '其他', '厚度': '常规'}"
贵人鸟冲锋衣男士夹克秋冬季枫叶加绒外套 枫叶黑【单冲】 XL,129.90,1000+,94%,品牌： 贵人鸟,"{'商品名称': '贵人鸟G18YF6268MY01AA', '商品编号': '100056524212', '商品毛重': '230.00g', '商品产地': '中国大陆', '货号': 'GA47KN6266FY01A99A04', '材质': '涤纶(聚酯纤维)100%', '版型': '修身型', '适用季节': '秋季，冬季', '上市时间': '2023年夏季', '领型': '连帽', '厚度': '常规', '衣长': '常规款', '图案': '纯色', '衣门襟': '拉链', '风格': '休闲风', '休闲风': '简约风'}"
吉普（JEEP）冲锋衣外套男秋冬季工装夹克男防风连帽上衣男 黑/深灰 XL,198.00,5000+,95%,品牌： 吉普（JEEP）,"{'商品名称': '吉普夹克', '商品编号': '100062657145', '商品毛重': '500.00g', '商品产地': '中国福建省', '货号': 'Q-STCKJP1818ZY', '材质': '涤纶(聚酯纤维)100%', '衣门襟': '拉链', '适用季节': '秋季，冬季', '上市时间': '2023年冬季', '领型': '可脱卸帽', '适用人群': '青年，青少年', '流行元素': '简约', '厚度': '常规', '风格': '百搭风', '版型': '标准型', '图案': '拼色', '衣长': '常规款'}"
卡帝乐鳄鱼（CARTELO）卫衣男士开衫连帽外套男秋冬季宽松休闲上衣男装 深灰色 XL,168.00,2000+,95%,品牌： 卡帝乐鳄鱼（CARTELO）,"{'商品名称': '卡帝乐鳄鱼卫衣', '商品编号': '100059462032', '商品毛重': '400.00g', '商品产地': '中国福建省', '货号': 'Q-JQKDLNZ3090RZY', '材质': '涤纶(聚酯纤维)100%', '版型': '标准型', '适用季节': '秋季，冬季', '领型': '连帽', '上市时间': '2023年冬季', '厚度': '厚款', '适用人群': '青少年，青年', '流行元素': '车缝线，简约', '工艺': '水洗', '袖型': '落肩袖', '穿着方式': '开衫', '图案': '纯色', '适用场景': '居家，旅行', '风格': '日韩风', '日韩风': '韩版'}"
吉普（JEEP）冲锋衣夹克男秋冬季防风工装外套男休闲防水上衣 军绿色 XL,258.00,1000+,97%,品牌： 吉普（JEEP）,"{'商品名称': '吉普夹克', '商品编号': '100070044298', '商品毛重': '0.9kg', '商品产地': '中国大陆', '货号': 'Q-EBJP8868ZY', '材质': '涤纶(聚酯纤维)100%', '衣门襟': '拉链', '适用季节': '冬季', '上市时间': '2023年冬季', '领型': '连帽', '适用人群': '青年，青少年', '厚度': '常规', '风格': '百搭风', '版型': '标准型', '图案': '纯色', '衣长': '常规款'}"
花花公子（PLAYBOY）冲锋衣男秋冬季夹克男士外套男装休闲潮流连帽男女情侣衣服,199.00,100+,100%,品牌： 花花公子（PLAYBOY）,"{'商品名称': '花花公子男士夹克', '商品编号': '100061393228', '商品毛重': '380.00g', '商品产地': '中国福建省', '货号': 'Q-STCKHH1818ZY', '材质': '涤纶(聚酯纤维)100%', '版型': '标准型', '适用季节': '秋季，冬季', '上市时间': '2023年冬季', '厚度': '常规', '适用人群': '青年，青少年', '领型': '连帽', '衣门襟': '拉链', '衣长': '常规款', '图案': '纯色，字母', '适用场景': '职场，学校', '风格': '日韩风', '日韩风': '韩版'}"
JEEP SPIRIT吉普冲锋衣夹克男春秋外套加厚三合一户外运动登山服 黑色 3XL,269.00,1000+,99%,品牌： JEEP SPIRIT,"{'商品名称': 'JEEP SPIRIT华晟-6268纯色', '商品编号': '100061359942', '商品毛重': '0.9kg', '商品产地': '中国大陆', '货号': 'LG-A436-6266A -04', '材质': '涤纶(聚酯纤维)', '衣门襟': '拉链', '适用季节': '秋季，冬季', '功能': '防风', '领型': '连帽', '流行元素': 'LOGO', '适用运动': '运动休闲', '适用性别': '通用', '上市时间': '2023年秋季', '版型': '常规型'}"
花花公子（PLAYBOY）外套男士夹克男装秋冬季摇粒绒潮流休闲立领冲锋上衣服,218.00,500+,97%,品牌： 花花公子（PLAYBOY）,"{'商品名称': '花花公子男士夹克', '商品编号': '100058428498', '商品毛重': '0.52kg', '商品产地': '中国福建省', '货号': 'C-1160HH202213CITZY', '材质': '涤纶(聚酯纤维)100%', '版型': '标准型', '适用季节': '秋季，冬季', '衣长': '常规款', '厚度': '常规', '流行元素': '简约，车缝线', '衣门襟': '拉链', '领型': '立领', '上市时间': '2023年冬季', '图案': '纯色', '适用场景': '学校', '风格': '日韩风', '日韩风': '韩版'}"
GLM森马集团品牌棉服男士立领秋冬季简约棉衣加厚保暖男装衣服外套,158.00,100+,100%,品牌： GLM,"{'商品名称': 'GLM棉服', '商品编号': '100068329752', '商品毛重': '0.86kg', '商品产地': '中国浙江', '货号': '23091GMJQN-26M001', '材质': '涤纶(聚酯纤维)100%', '穿着方式': '开衫', '版型': '标准型', '衣门襟': '拉链', '填充物': '涤纶(聚酯纤维)', '衣长': '常规款', '领型': '立领', '适用人群': '青少年，青年', '流行元素': '撞色，简约', '厚度': '加厚', '风格': '百搭风', '上市时间': '2023年秋季', '图案': '拼色', '适用场景': '居家，运动'}"
罗蒙（ROMON）冲锋衣男冬季加绒加厚户外棉服防风保暖登山服夹克外套 军绿 4XL,118.00,1000+,92%,品牌： 罗蒙（ROMON）,"{'商品名称': '罗蒙男士冲锋衣', '商品编号': '100066436898', '商品毛重': '1.3kg', '商品产地': '中国大陆', '货号': '02LM1688R', '功能': '防风，保暖', '适用季节': '冬季', '材质': '涤纶(聚酯纤维)100%', '上市时间': '2023年冬季'}"
